iter	RMSE
168	4038.969022
169	4037.002088
170	4033.914093
171	4031.880412
172	4030.077931
173	4028.723359
174	4027.546194
175	4024.447367
176	4022.322856
177	4020.43149
178	4018.248962
179	4016.80113
180	4013.983489
181	4013.496523
182	4008.891542
183	4006.650705
184	4000.989349
185	3998.131446
186	3995.168024
187	3992.703193
188	3988.122481
189	3986.083967
190	3983.586281
191	3981.939757
192	3979.126702
193	3975.459585
194	3973.645136
195	3971.912386
196	3970.418752
197	3968.214664
198	3966.372724
199	3964.053836
200	3962.315567
201	3958.943773
202	3957.927816
203	3956.105095
204	3954.330047
205	3951.045335
206	3947.855509
207	3946.175539
208	3944.194047
209	3940.82734
210	3938.99415
211	3938.005769
212	3936.284761
213	3931.436497
214	3928.68506
215	3926.30682
216	3924.959537
217	3923.361015
218	3921.309359
219	3919.674149
220	3917.140317
221	3915.712992
222	3913.59739
223	3909.123462
224	3906.375813
225	3904.37421
226	3903.50806
227	3902.490845
228	3899.990013
229	3896.903544
230	3896.237899
231	3892.684524
232	3888.997629
233	3886.674385
234	3883.19928
235	3881.994273
236	3881.115555
237	3880.261574
238	3876.557792
239	3875.097681
240	3872.607732
241	3872.255753
242	3868.681202
243	3867.73859
244	3866.403537
245	3865.248535
246	3863.516843
247	3860.441515
248	3859.21481
249	3857.177755
250	3856.390152
251	3854.325088
252	3851.313427
253	3849.328648
254	3846.839934
255	3842.699048
256	3840.328531
257	3838.153759
258	3837.709582
259	3836.536528
260	3834.28629
261	3833.397486
262	3832.28774
263	3831.404552
264	3828.008773
265	3821.542909
266	3819.614616
267	3819.093481
268	3817.071982
269	3816.349829
270	3812.995865
271	3811.306856
272	3809.525177
273	3808.633668
274	3807.928627
275	3804.521225
276	3803.659509
277	3801.754068
278	3800.315293
279	3795.152266
280	3794.243978
281	3790.447317
282	3786.479557
283	3785.939095
284	3781.358085
285	3778.998096
286	3777.202995
287	3773.979952
288	3771.260578
289	3768.630127
290	3765.588001
291	3764.28713
292	3762.615658
293	3760.935939
294	3758.752367
295	3753.204487
296	3751.837138
297	3750.263184
298	3749.522815
299	3745.543157
300	3741.285596
301	3739.657022
302	3738.940485
303	3733.665214
304	3727.549577
305	3723.742504
306	3720.625615
307	3719.099052
308	3716.008667
309	3714.449711
310	3711.442852
311	3705.75614
312	3704.887589
313	3702.364725
314	3700.047535
315	3698.604476
316	3696.03913
317	3693.192139
318	3691.588255
319	3687.988802
320	3685.672347
321	3680.432934
322	3679.976049
323	3679.632709
324	3679.197223
325	3677.297395
326	3675.659776
327	3673.087742
328	3668.726272
329	3667.699626
330	3663.052183
331	3658.178739
332	3657.434994
333	3656.107085
334	3655.191966
335	3650.419819
336	3647.24613
337	3645.44861
338	3641.390417
339	3639.482479
340	3637.531598
341	3636.27796
342	3635.032144
343	3633.823982
344	3630.325811
345	3628.999873
346	3626.755981
347	3625.267231
348	3623.419424
349	3621.797452
350	3620.548639
351	3616.564879
352	3612.832507
353	3611.792259
354	3610.270585
355	3607.440057
356	3606.791302
357	3605.09328
358	3601.582717
359	3598.301754
360	3597.238686
361	3595.185434
362	3594.018701
363	3589.814051
364	3586.965813
365	3585.96162
366	3584.777148
367	3582.935962
368	3580.969329
369	3579.369302
370	3578.216156
371	3575.55674
372	3572.244568
373	3571.191663
374	3570.184499
375	3567.082695
376	3564.735303
377	3564.083608
378	3562.355318
379	3560.799933
380	3560.40062
381	3556.240051
382	3554.712413
383	3552.231756
384	3548.306296
385	3546.459778
386	3544.706317
387	3541.705789
388	3541.42526
389	3538.246114
390	3535.865548
391	3534.820929
392	3533.125632
393	3529.430423
394	3526.354813
395	3524.91802
396	3524.007464
397	3522.484531
398	3518.998232
399	3517.980062
400	3515.615621
401	3514.749373
402	3514.059829
403	3513.149565
404	3512.498106
405	3510.18337
406	3509.314466
407	3506.536042
408	3506.042185
409	3504.418308
410	3500.05921
411	3498.713871
412	3498.054119
413	3495.879382
414	3492.493823
415	3491.661361
416	3490.434906
417	3487.213018
418	3485.508678
419	3483.161433
420	3481.604462
421	3479.090175
422	3476.460228
423	3473.473442
424	3471.673318
425	3466.732803
426	3464.191618
427	3463.342547
428	3460.503214
429	3458.871931
430	3457.226902
431	3455.865383
432	3453.437769
433	3450.263438
434	3448.866015
435	3444.608336
436	3441.527445
437	3440.35763
438	3439.227103
439	3437.782849
440	3434.482161
441	3430.531632
442	3430.006958
443	3427.587179
444	3425.535521
445	3423.212743
446	3419.181396
447	3418.045646
448	3413.284127
449	3410.915216
450	3407.720204
451	3404.670576
452	3402.893235
453	3400.810867
454	3399.84167
455	3397.189629
456	3393.508836
457	3392.912364
458	3390.883927
459	3389.255479
460	3387.144902
461	3384.893018
462	3383.907172
463	3381.602076
464	3380.248918
465	3378.431359
466	3377.587538
467	3376.836898
468	3375.045337
469	3374.133626
470	3371.85524
471	3369.700926
472	3368.026858
473	3364.643861
474	3360.186653
475	3358.876439
476	3357.542627
477	3355.522501
478	3354.621953
479	3353.720166
480	3351.978102
481	3349.212092
482	3347.287011
483	3345.192693
484	3343.884894
485	3342.762247
486	3340.355485
487	3336.014042
488	3334.764373
489	3332.113931
490	3330.001149
491	3328.590684
492	3327.629615
493	3326.936114
494	3325.943787
495	3325.296354
496	3322.69627
497	3320.690479
498	3319.003443
499	3317.042546
500	3313.519605
501	3312.480881
502	3311.880326
503	3310.508726
504	3308.434712
505	3307.322454
506	3306.67916
507	3303.06016
508	3301.102043
509	3299.105244
510	3298.111447
511	3296.775477
512	3294.931925
513	3293.951243
514	3292.626556
515	3291.643661
516	3290.125843
517	3287.519821
518	3284.623538
519	3282.766051
520	3281.84364
521	3280.285635
522	3275.655858
523	3274.365658
524	3273.510394
525	3271.780765
526	3267.704984
527	3266.2108
528	3263.694248
529	3261.554597
530	3257.511179
531	3257.157671
532	3254.681113
533	3252.163931
534	3249.97966
535	3248.016271
536	3245.7874
537	3244.890715
538	3243.355041
539	3240.964662
540	3240.392473
541	3238.676899
542	3236.867583
543	3235.365578
544	3233.736601
545	3231.099133
546	3229.835846
547	3226.080088
548	3224.727856
549	3223.5182
550	3222.319062
551	3218.963288
552	3216.669545
553	3215.655885
554	3214.423967
555	3212.273207
556	3210.979975
557	3209.453666
558	3205.346909
559	3204.255039
560	3203.731064
561	3202.430978
562	3200.91455
563	3196.328237
564	3195.029747
565	3193.486199
566	3192.223582
567	3190.66306
568	3187.50838
569	3186.350557
570	3184.286362
571	3182.554705
572	3180.649103
573	3179.705021
574	3178.51586
575	3178.098586
576	3175.820729
577	3173.253996
578	3172.057987
579	3171.393964
580	3169.022264
581	3165.214207
582	3163.447955
583	3162.974016
584	3161.735988
585	3158.539249
586	3155.509415
587	3154.707461
588	3153.330667
589	3152.341371
590	3150.667974
591	3148.471531
592	3145.709867
593	3143.55766
594	3142.663241
595	3137.408247
596	3136.673294
597	3133.846294
598	3130.156394
599	3127.175696
600	3125.105705
601	3123.92937
602	3122.889894
603	3122.177759
604	3120.828045
605	3118.924351
606	3117.588715
607	3115.363888
608	3113.608819
609	3110.845775
610	3109.154881
611	3106.237968
612	3104.489196
613	3102.74767
614	3101.370558
615	3100.771992
616	3098.172346
617	3096.425226
618	3094.519452
619	3093.952992
620	3090.859278
621	3089.092809
622	3087.791396
623	3085.873632
624	3083.172182
625	3081.334894
626	3079.661749
627	3077.620851
628	3076.341795
629	3074.623042
630	3073.31276
631	3071.641848
632	3068.759128
633	3066.7567
634	3064.374302
635	3063.241418
636	3059.790413
637	3057.903392
638	3054.919566
639	3054.180286
640	3051.182026
641	3049.550365
642	3048.061585
643	3044.824488
644	3042.215968
645	3039.527358
646	3037.78091
647	3036.956332
648	3035.00177
649	3031.900968
650	3030.394614
651	3027.977022
652	3027.02213
653	3025.051573
654	3024.565993
655	3022.045625
656	3020.940127
657	3020.574629
658	3018.721486
659	3017.033203
660	3014.700467
661	3013.116285
662	3012.469274
663	3011.364112
664	3008.728875
665	3006.685385
666	3005.247042
667	3003.915204
668	3001.764818
669	3000.412645
670	2998.887158
671	2998.297183
672	2996.685004
673	2995.213838
674	2993.761856
675	2992.444725
676	2989.954558
677	2989.255784
678	2987.404838
679	2986.118495
680	2985.368729
681	2984.533326
682	2983.021459
683	2980.735517
684	2979.034676
685	2977.79583
686	2976.881643
687	2976.064407
688	2974.082655
689	2972.143416
690	2971.21217
691	2968.400091
692	2966.821115
693	2965.007903
694	2962.473278
695	2960.73161
696	2959.187308
697	2957.981757
698	2956.076148
699	2954.213042
700	2953.148867
701	2951.59733
702	2950.163207
703	2949.476197
704	2948.607019
705	2947.068244
706	2945.517633
707	2944.060045
708	2942.826707
709	2941.998504
710	2940.133813
711	2939.720031
712	2937.878917
713	2936.871095
714	2934.569914
715	2934.159017
716	2932.892639
717	2930.659966
718	2928.783663
719	2927.497041
720	2926.469499
721	2925.458337
722	2924.678447
723	2921.914215
724	2920.423001
725	2918.46144
726	2916.689004
727	2914.882079
728	2912.934436
729	2910.585934
730	2908.816169
731	2907.407425
732	2906.386803
733	2904.628175
734	2903.353358
735	2902.83022
736	2901.35599
737	2899.962137
738	2899.399047
739	2898.47861
740	2897.761381
741	2895.920174
742	2892.634002
743	2891.22655
744	2890.415116
745	2888.659203
746	2887.591817
747	2886.583475
748	2884.18087
749	2882.484937
750	2881.398613
751	2879.66115
752	2879.14142
753	2877.873215
754	2877.519945
755	2875.859039
756	2874.285281
757	2871.909392
758	2870.016147
759	2869.114115
760	2868.320853
761	2866.381499
762	2865.069614
763	2864.181759
764	2863.606452
765	2862.302309
766	2860.701668
767	2859.745404
768	2858.811829
769	2856.580916
770	2854.510416
771	2852.78557
772	2851.390308
773	2849.050186
774	2848.081185
775	2846.546418
776	2846.246696
777	2843.521599
778	2843.170957
779	2842.872731
780	2841.24156
781	2840.857445
782	2838.720728
783	2837.574626
784	2836.591802
785	2834.399381
786	2832.649224
787	2831.251965
788	2829.120226
789	2828.556603
790	2827.966914
791	2825.770755
792	2825.460139
793	2824.578301
794	2822.340641
795	2821.446262
796	2821.068458
797	2819.911191
798	2818.327219
799	2817.00667
800	2815.659162
801	2814.445815
802	2813.205282
803	2812.693838
804	2811.235823
805	2809.902052
806	2808.616063
807	2806.294436
808	2804.851134
809	2804.369657
810	2801.164933
811	2799.25533
812	2798.633054
813	2796.602763
814	2794.908372
815	2794.434705
816	2791.159782
817	2790.111592
818	2788.693621
819	2784.412226
820	2782.811407
821	2782.306483
822	2781.741409
823	2780.171506
824	2778.029269
825	2776.80733
826	2775.694634
827	2774.306327
828	2773.17425
829	2772.8703
830	2772.117144
831	2770.906247
832	2769.304857
833	2767.652785
834	2766.354258
835	2765.184969
836	2762.234756
837	2760.944503
838	2758.302935
839	2756.454438
840	2755.247239
841	2753.693409
842	2751.069136
843	2750.357803
844	2748.845436
845	2748.192458
846	2746.943485
847	2744.902012
848	2744.109736
849	2742.565416
850	2740.01294
851	2738.536123
852	2736.886494
853	2736.242445
854	2733.658056
855	2732.015636
856	2731.281681
857	2729.069139
858	2727.099446
859	2724.772302
860	2723.811449
861	2721.893277
862	2721.417382
863	2719.780227
864	2719.372134
865	2717.570252
866	2717.366946
867	2716.00176
868	2714.283387
869	2713.814455
870	2712.641152
871	2711.186209
872	2709.15761
873	2708.001989
874	2706.691849
875	2704.673727
876	2703.666942
877	2702.635143
878	2701.138641
879	2699.214412
880	2698.434749
881	2697.48817
882	2697.106623
883	2696.702331
884	2696.153451
885	2695.026434
886	2694.300311
887	2693.16876
888	2691.854816
889	2690.140995
890	2688.640519
891	2687.34104
892	2685.618705
893	2684.353805
894	2683.621537
895	2680.184443
896	2678.802085
897	2677.419126
898	2676.261797
899	2673.90924
900	2672.385455
901	2671.391342
902	2669.024587
903	2668.638737
904	2666.829497
905	2665.597069
906	2665.145552
907	2663.32932
908	2661.868353
909	2660.728263
910	2659.126917
911	2658.045294
912	2656.707899
913	2656.310788
914	2654.914175
915	2653.399282
916	2651.344803
917	2649.758305
918	2647.627779
919	2645.865241
920	2644.784795
921	2643.145368
922	2641.837878
923	2640.903354
924	2638.718761
925	2636.996914
926	2635.71496
927	2634.770214
928	2633.634928
929	2633.004919
930	2632.575652
931	2631.41842
932	2630.27111
933	2629.019156
934	2626.991393
935	2625.022409
936	2623.595546
937	2621.943729
938	2620.771514
939	2618.685882
940	2617.625032
941	2615.823907
942	2613.836449
943	2612.295691
944	2609.94077
945	2606.736633
946	2605.372244
947	2604.368163
948	2602.959612
949	2602.633583
950	2601.785139
951	2600.056498
952	2599.042523
953	2597.206695
954	2595.730421
955	2593.574612
956	2592.486707
957	2591.694344
958	2590.504626
959	2589.855431
960	2588.657022
961	2587.962076
962	2586.103121
963	2585.182199
964	2583.023523
965	2582.670279
966	2580.621971
967	2580.089783
968	2579.647841
969	2578.75134
970	2577.017558
971	2575.440085
972	2574.782012
973	2574.549114
974	2572.868985
975	2571.378481
976	2570.574425
977	2568.135952
978	2567.380798
979	2565.27203
980	2564.239234
981	2563.201462
982	2560.875911
983	2559.36529
984	2558.648386
985	2558.301646
986	2556.890007
987	2555.925562
988	2554.723798
989	2553.332679
990	2553.178805
991	2551.501141
992	2550.138956
993	2549.073878
994	2547.714896
995	2546.33699
996	2544.702153
997	2544.329017
998	2543.562397
999	2542.519764
